Feature_Original,Feature_Sanitized,MeanAbsSHAP,Selection_Count
T2_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,T2_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,0.07026946942656324,2
Post1_IH_IntensityHistogramMode_Intensity,Post1_IH_IntensityHistogramMode_Intensity,0.06972653758248398,3
Post2_Morph_Compacity,Post2_Morph_Compacity,0.06292069572839923,2
Post1_Morph_Compacity,Post1_Morph_Compacity,0.06287800587760732,3
Post1_IH_MinimumHistogramGradientGreyLevel_Intensity,Post1_IH_MinimumHistogramGradientGreyLevel_Intensity,0.062325922233260264,2
Post1_Morph_Asphericity,Post1_Morph_Asphericity,0.06150092068140844,2
Post2_IH_IntensityHistogramMedian_Intensity,Post2_IH_IntensityHistogramMedian_Intensity,0.05859855277448823,2
T2_IH_IntensityHistogramMinimumGreyLevel_Intensity,T2_IH_IntensityHistogramMinimumGreyLevel_Intensity,0.05413363513845289,2
Post2_GLCM_Correlation,Post2_GLCM_Correlation,0.026164682273452963,2
Post1_Morph_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist_mm,Post1_Morph_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist_mm,0.009087322139355425,2
