Fold,Feature_Rank_in_Fold,Feature_Name
1,1,Post2_IB_AreaUnderCurveCIVH
1,2,T2_IH_IntensityHistogram50thPercentile
1,3,Post2_IH_MinimumHistogramGradientGreyLevel_Intensity
1,4,T2_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist
1,5,Post2_IB_MeanIntensity
1,6,Post1_Morph_Compacity
1,7,Post2_IH_AreaUnderCurveCIVH_Intensity
1,8,Post1_GLCM_Correlation
1,9,Post2_IH_IntensityHistogramMean_Intensity
1,10,Post1_IH_IntensityHistogramQuartileCoefficientOfDispersion_Intensity
1,11,Post1_IB_IntensityBasedEnergy
1,12,Post1_Morph_Asphericity
1,13,T2_IB_50thIntensityPercentile
1,14,Post1_GLCM_Autocorrelation
2,1,T2_IH_IntensityHistogramMinimumGreyLevel_Intensity
2,2,Post1_Morph_Compactness2
2,3,T2_IH_IntensityHistogramRobustMeanAbsoluteDeviation_Intensity
2,4,T2_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist
2,5,Post2_Morph_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist_mm
2,6,Post2_GLCM_InverseDifferenceMoment
2,7,Post1_IH_MinimumHistogramGradientGreyLevel_Intensity
2,8,T2_IH_IntensityHistogramCoefficientOfVariation_Intensity
2,9,Post1_GLCM_JointAverage
2,10,T2_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist
2,11,Post1_Morph_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist_mm
2,12,Post2_Morph_Compacity
2,13,Post1_IH_IntensityHistogramMode_Intensity
2,14,Post2_GLCM_InverseVariance
3,1,Post1_IH_IntensityHistogramMode_Intensity
3,2,Post2_IH_IntensityHistogramMedian_Intensity
3,3,T2_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist
3,4,T2_IH_IntensityHistogramMode_Intensity
3,5,Post1_Morph_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist_mm
3,6,Post1_GLSZM_LowGrayLevelZoneEmphasis
3,7,T2_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist
3,8,Post1_IB_50thIntensityPercentile
3,9,Post2_IB_TotalLesionGlycolysis
3,10,T2_GLCM_ClusterShade
3,11,T2_IB_MinimumIntensity
3,12,Post1_Morph_Compacity
3,13,Post1_IB_MedianIntensity
3,14,Post2_GLSZM_LargeZoneEmphasis
4,1,T2_IB_50thIntensityPercentile
4,2,Post1_IH_IntensityHistogramMode_Intensity
4,3,Post2_Morph_Compacity
4,4,T2_IH_IntensityHistogramMinimumGreyLevel_Intensity
4,5,Post2_GLCM_Correlation
4,6,Post1_Morph_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist_mm
4,7,T2_GLCM_SumVariance
4,8,Post2_NGTDM_Complexity
4,9,T2_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist
4,10,Post1_IH_MinimumHistogramGradientGreyLevel_Intensity
4,11,T2_Morph_Compacity
4,12,T2_IH_MinimumHistogramGradientGreyLevel_Intensity
4,13,T2_IH_IntensityHistogramKurtosis_Intensity
4,14,Post2_Morph_RadiusRoiNorm_MaxIntensityCoor_RoiCentroidCoor_Dist
5,1,Post2_IH_IntensityHistogramMedian_Intensity
5,2,Post1_Morph_Compacity
5,3,Post1_GLRLM_HighGreyLevelRunEmphasis
5,4,Post2_Morph_RadiusSphereNorm_CentroidCoor_WCentroidCoor_Dist
5,5,Post2_NGTDM_Busyness
5,6,Post1_IB_IntensityBasedEnergy
5,7,Post1_Morph_Asphericity
5,8,Post1_IB_75thIntensityPercentile
5,9,T2_IH_IntensityHistogramRobustMeanAbsoluteDeviation_Intensity
5,10,T2_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist
5,11,Post1_Morph_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist_mm
5,12,T2_GLRLM_LongRunHighGreyLevelEmphasis
5,13,Post1_Morph_SphericalDisproportion
5,14,Post1_IB_50thIntensityPercentile
