Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
NaiveBayes,0.682 ± 0.083,0.702 ± 0.184,0.635 ± 0.081,0.591 ± 0.080,0.601 ± 0.163,0.664 ± 0.280,0.615 ± 0.195,0.517 ± 0.274,11.600 ± 7.127
GradientBoosting,0.674 ± 0.082,0.718 ± 0.097,0.597 ± 0.117,0.622 ± 0.097,0.603 ± 0.161,0.732 ± 0.243,0.628 ± 0.142,0.512 ± 0.120,11.600 ± 7.127
XGBoost,0.667 ± 0.075,0.720 ± 0.087,0.576 ± 0.143,0.584 ± 0.100,0.580 ± 0.203,0.657 ± 0.202,0.592 ± 0.190,0.511 ± 0.120,11.600 ± 7.127
SVM_Linear,0.663 ± 0.065,0.699 ± 0.110,0.597 ± 0.081,0.604 ± 0.086,0.619 ± 0.180,0.613 ± 0.237,0.585 ± 0.121,0.596 ± 0.244,11.600 ± 7.127
LogisticRegression,0.659 ± 0.072,0.718 ± 0.093,0.606 ± 0.061,0.593 ± 0.080,0.606 ± 0.218,0.558 ± 0.218,0.566 ± 0.186,0.627 ± 0.169,11.600 ± 7.127
LightGBM,0.655 ± 0.048,0.724 ± 0.081,0.563 ± 0.049,0.580 ± 0.031,0.598 ± 0.176,0.571 ± 0.104,0.559 ± 0.102,0.589 ± 0.111,11.600 ± 7.127
ExtraTrees,0.640 ± 0.088,0.709 ± 0.099,0.591 ± 0.043,0.581 ± 0.057,0.600 ± 0.204,0.511 ± 0.160,0.543 ± 0.167,0.650 ± 0.091,11.600 ± 7.127
RandomForest,0.612 ± 0.099,0.685 ± 0.097,0.635 ± 0.119,0.623 ± 0.096,0.629 ± 0.102,0.629 ± 0.221,0.614 ± 0.158,0.617 ± 0.137,11.600 ± 7.127
SVM_RBF,0.559 ± 0.166,0.633 ± 0.125,0.585 ± 0.097,0.586 ± 0.100,0.590 ± 0.195,0.652 ± 0.251,0.589 ± 0.168,0.519 ± 0.299,11.600 ± 7.127
KNN,0.553 ± 0.190,0.661 ± 0.154,0.507 ± 0.133,0.489 ± 0.127,0.489 ± 0.241,0.577 ± 0.317,0.511 ± 0.254,0.401 ± 0.207,11.600 ± 7.127
