Fold,Feature_Rank_in_Fold,Feature_Name
1,1,Pre_NGTDM_Strength
1,2,T2_GLRLM_RunPercentage
1,3,Post2_Morph_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist_mm
1,4,T2_IB_IntensityBasedCoefficientOfVariation
1,5,Post2_GLCM_Correlation
1,6,Post2_IH_MinimumHistogramGradientGreyLevel_Intensity
1,7,T2_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist
1,8,Pre_Morph_MaxIntensityCoor_PerimeterCoor_3DSmallestDist_mm
1,9,T2_GLCM_ClusterShade
1,10,Post2_IH_IntensityHistogramMinimumGreyLevel_Intensity
1,11,Post2_IH_IntensityHistogramMode_Intensity
1,12,T2_IH_IntensityHistogramCoefficientOfVariation_Intensity
1,13,T2_IH_MaximumHistogramGradientGreyLevel_Intensity
1,14,Pre_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist
2,1,Post2_IH_IntensityHistogram25thPercentile
2,2,T2_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist
2,3,Pre_IH_IntensityHistogramMinimumGreyLevel_Intensity
2,4,Pre_NGTDM_Strength
2,5,Post2_Morph_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist_mm
2,6,T2_IH_IntensityHistogramCoefficientOfVariation_Intensity
2,7,Post2_GLCM_Correlation
2,8,Post2_GLCM_InverseVariance
2,9,T2_Morph_RadiusSphereNorm_MaxIntensityCoor_RoiCentroidCoor_Dist
2,10,Post2_Morph_RadiusSphereNorm_CentroidCoor_WCentroidCoor_Dist
2,11,T2_GLRLM_LongRunHighGreyLevelEmphasis
2,12,Pre_Morph_MaxIntensityCoor_PerimeterCoor_3DSmallestDist_mm
2,13,Pre_Morph_Compactness2
2,14,Pre_GLCM_ClusterShade
2,15,T2_GLCM_JointMaximum
2,16,Post2_Morph_RadiusRoiNorm_MaxIntensityCoor_RoiCentroidCoor_Dist
3,1,Post2_GLSZM_SmallZoneEmphasis
3,2,T2_IH_MinimumHistogramGradientGreyLevel_Intensity
3,3,T2_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist
3,4,Pre_Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm
3,5,Post2_IH_IntensityHistogramMode_Intensity
3,6,Pre_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist
3,7,T2_GLSZM_ZoneSizeVariance
3,8,T2_Morph_RadiusSphereNorm_MaxIntensityCoor_RoiCentroidCoor_Dist
3,9,T2_GLSZM_SmallZoneHighGreyLevelEmphasis
3,10,Pre_GLSZM_NormalisedGreyLevelNonUniformity
3,11,Pre_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist
3,12,T2_Morph_RadiusRoiNorm_CentroidCoor_WCentroidCoor_Dist
4,1,T2_IH_IntensityHistogramMinimumGreyLevel_Intensity
4,2,T2_NGTDM_Strength
4,3,Post2_Morph_RadiusSphereNorm_CentroidCoor_WCentroidCoor_Dist
4,4,Pre_IH_IntensityHistogramStd_Intensity
5,1,Post2_GLCM_Correlation
5,2,Pre_IH_IntensityHistogram25thPercentile
5,3,T2_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist
5,4,T2_GLRLM_LongRunHighGreyLevelEmphasis
5,5,Post2_Morph_MaxIntensityCoor_PerimeterCoor_3DSmallestDist_mm
5,6,T2_IH_IntensityHistogramCoefficientOfVariation_Intensity
5,7,Pre_Morph_Sphericity
5,8,Post2_GLCM_InverseVariance
5,9,T2_GLSZM_ZoneSizeVariance
5,10,Pre_NGTDM_Strength
5,11,Post2_IH_MinimumHistogramGradientGreyLevel_Intensity
5,12,T2_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist
5,13,Pre_IB_IntensityBasedEnergy
5,14,Pre_Morph_MaxIntensityCoor_PerimeterCoor_3DSmallestDist_mm
5,15,T2_NGTDM_Strength
5,16,Post2_IH_IntensityHistogramMode_Intensity
5,17,Pre_Morph_RadiusSphereNorm_MaxIntensityCoor_RoiCentroidCoor_Dist
5,18,Pre_Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm
